Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
NIKE-MYEONGDONG - 2106,2812344844,Partner,11/13/24,11/13/24,1:38 오후,03,,000026,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812345245,Partner,11/13/24,11/13/24,1:40 오후,03,,000027,,100.00,주현님 너무 친절하시고 덕분에 제품 몇개 더 구매했네요. 감사합니다,"Joohyun, you are so kind and thanks to you I bought a few more products. Thank you.",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812347805,Partner,11/13/24,11/13/24,2:29 오후,03,,000033,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812348311,Partner,11/13/24,11/13/24,5:34 오전,099,39000,01511,Yes,100.00,이민지 직원,An employee of 이민지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812348700,Partner,11/13/24,11/13/24,2:47 오후,03,,000035,,100.00,종민,유민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812349571,Partner,11/13/24,11/13/24,3:09 오후,03,,000040,,100.00,이민지,이미지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812350540,Partner,11/13/24,11/13/24,3:25 오후,03,,000041,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812351763,Partner,11/13/24,11/13/24,3:48 오후,03,,000046,,100.00,손석규,손석규,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812352178,Partner,11/13/24,11/13/24,3:56 오후,03,,000051,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812354018,Partner,11/13/24,11/13/24,4:29 오후,03,,000057,,100.00,양경민,양경민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812358773,Partner,11/13/24,11/13/24,5:03 오후,03,,000062,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812358955,Partner,11/13/24,11/13/24,5:07 오후,03,,000063,,100.00,경민,경민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812359091,Partner,11/13/24,11/13/24,5:11 오후,03,,000064,,100.00,영민 잘삿습니당,영민 잔자스니당,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812359148,Partner,11/13/24,11/13/24,5:13 오후,03,,000066,,100.00,영민님 멋집니다,영민님 is cool,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812359672,Partner,11/13/24,11/13/24,5:22 오후,03,,000068,,100.00,효원,화원,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812360541,Partner,11/13/24,11/13/24,5:48 오후,03,,000075,,100.00,지원,support,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812360598,Partner,11/13/24,11/13/24,5:48 오후,03,,000076,,100.00,고은,고은,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812362076,Partner,11/13/24,11/13/24,6:26 오후,03,,000079,,100.00,은서,은서,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812362223,Partner,11/13/24,11/13/24,6:30 오후,03,,000080,,100.00,종민,유민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812364112,Partner,11/13/24,11/13/24,7:09 오후,03,,000090,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812366140,Partner,11/13/24,11/13/24,7:24 오후,03,,000093,,100.00,승현,승현,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812367281,Partner,11/13/24,11/13/24,7:47 오후,03,,000095,,100.00,손석규,손석규,7,7,7,7,7,7,6
NIKE-MYEONGDONG - 2106,2812367539,Partner,11/13/24,11/13/24,7:50 오후,03,,000096,,100.00,Seokgyuson,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812369399,Partner,11/13/24,11/13/24,3:01 오후,03,,000039,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812369515,Partner,11/13/24,11/13/24,3:01 오후,03,,000039,,100.00,경진님 친절해요 :),경진님 경이하요 :),7,7,7,7,7,7,7
