Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
NIKE-MYEONGDONG - 2106,2812662482,Partner,11/14/24,11/14/24,2:14 오후,03,,000027,,100.00,예형,예형,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812662504,Partner,11/14/24,11/14/24,2:21 오후,03,,000028,,100.00,영민 친절하게 잘 응대 해 주셔서 좋은 구매 했습니다.,I made a good purchase thanks to Youngmin's kind and helpful service.,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812663360,Partner,11/14/24,11/14/24,2:36 오후,03,,000031,,100.00,효원,화원,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812664196,Partner,11/14/24,11/14/24,2:49 오후,04,,000002,,100.00,경민,경민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812664336,Partner,11/14/24,11/14/24,2:54 오후,03,,000033,,100.00,Go eun is very helpful!!!,,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812664517,Partner,11/14/24,11/14/24,2:58 오후,03,,000036,,100.00,영민 매우 친절하세요,Youngmin is very kind,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812666857,Partner,11/14/24,11/14/24,6:33 오전,099,19000,01513,Yes,100.00,영민 감사합니다!,Thank you!,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812667042,Partner,11/14/24,11/14/24,3:45 오후,03,,000040,,100.00,이지원,이지리,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812667668,Partner,11/14/24,11/14/24,3:56 오후,03,,000043,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812667826,Partner,11/14/24,11/14/24,1:27 오후,03,,000023,,100.00,영민 잘샀습니더!,영민 자에스니더!,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812668504,Partner,11/14/24,11/14/24,4:10 오후,03,,000044,,100.00,Jiwon lee,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812668610,Partner,11/14/24,11/14/24,4:13 오후,03,,000046,,100.00,지원,support,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812668672,Partner,11/14/24,11/14/24,4:15 오후,03,,000047,,100.00,Go eun,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812674752,Partner,11/14/24,11/14/24,4:57 오후,03,,000051,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812676915,Partner,11/14/24,11/14/24,2:56 오후,03,,000035,,100.00,지현희씨 감사해요,지현희씨 감사해요,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812678170,Partner,11/14/24,11/14/24,6:17 오후,03,,000076,,100.00,경진님 너무 설명잘해주시고 친절하십니다,"Mr. Kyungjin, you explain things very well and are very kind.",7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812678407,Partner,11/14/24,11/14/24,5:53 오후,03,,000073,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812678465,Partner,11/14/24,11/14/24,5:53 오후,03,,000073,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812679157,Partner,11/14/24,11/14/24,6:14 오후,01,,000001,,100.00,Jaehwan was super helpful in getting a custom hat designed. Definitely look for him when you want to get your designs made. Thanks!,,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812679655,Partner,11/14/24,11/14/24,6:50 오후,03,,000085,,100.00,효원,화원,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812680055,Partner,11/14/24,11/14/24,6:59 오후,03,,000087,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812713338,Partner,11/14/24,11/14/24,1:55 오후,03,,000024,,100.00,예지,예지,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812678349,Partner,11/14/24,11/14/24,6:20 오후,03,,000077,,69.86,Goeun gave me good help,,7,7,7,6,4,7,7
